timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len,Anomaly,Anomaly_Score
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,61426.0,192.168.135.90,53.0,6406.0,78.0,False,0.008906490707570611
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,64320.0,192.168.135.90,53.0,6406.0,78.0,True,0.012972502261888555
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,13112.0,112.0,False,0.00933818717816379
Thu Mar 20 23:55:13 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,61426.0,8143.0,126.0,False,0.005930148381999748
Thu Mar 20 23:55:13 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,64320.0,8659.0,120.0,False,0.00965049828555015
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0,False,0.004964380844278694
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,67529.0,520.0,False,0.011190250664672963
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,19168.0,176.0,False,0.009691610018454883
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,7529.0,85.0,False,0.008046147755363562
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0,False,0.00638497160655514
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,8800.0,89.0,False,0.007416604886894746
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,6156.0,60.0,False,0.0034960738333152156
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0,False,0.004707977494416993
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,0.0,0.0,False,0.010051917306606801
Thu Mar 20 23:55:19 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54174.0,108.159.15.29,443.0,5694.0,60.0,False,0.005684227950548088
Thu Mar 20 23:55:19 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,108.159.15.29,443.0,192.168.135.162,54174.0,0.0,0.0,False,0.009230750513375411
