timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,61426.0,192.168.135.90,53.0,6406.0,78.0
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,64320.0,192.168.135.90,53.0,6406.0,78.0
Thu Mar 20 23:55:13 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,13112.0,112.0
Thu Mar 20 23:55:13 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,61426.0,8143.0,126.0
Thu Mar 20 23:55:13 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,64320.0,8659.0,120.0
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,67529.0,520.0
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,19168.0,176.0
Thu Mar 20 23:55:14 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,7529.0,85.0
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,8800.0,89.0
Thu Mar 20 23:55:14 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,6156.0,60.0
